220
1	3.412002	1.259735	5.031209
2	3.477842	1.238883	4.893214
3	3.485325	1.366706	5.120243
4	3.427525	1.368829	5.255707
5	3.405082	1.164629	5.089557
6	3.305053	1.286538	5.006981
7	3.578171	1.194561	4.908199
8	3.494943	1.339586	4.849444
9	3.429673	1.16488	4.832832
10	3.591379	1.348446	5.130315
11	3.4721	1.462793	5.075046
12	3.317896	1.376582	5.252553
13	3.465479	1.454976	5.315859
14	3.457624	1.276086	5.311351
15	5.818763	5.970634	1.991001
16	5.791233	5.82946	1.93266
17	5.83652	5.943921	2.138943
18	5.710412	5.884674	2.204002
19	5.744244	6.036242	1.966864
20	5.911502	6.007957	1.943902
21	5.691127	5.797944	1.975307
22	5.873504	5.7572	1.945355
23	5.785417	5.846852	1.824259
24	5.918609	5.872595	2.135593
25	5.868627	6.038296	2.184055
26	5.703725	5.773924	2.194206
27	5.622231	5.923215	2.153137
28	5.702744	5.902147	2.308134
29	3.130129	7.930914	3.203768
30	3.136489	7.931129	3.359539
31	3.232156	8.042867	3.167509
32	3.214956	8.166871	3.259528
33	3.027672	7.956042	3.171796
34	3.166078	7.84024	3.156533
35	3.066267	8.011996	3.386204
36	3.242795	7.954372	3.389436
37	3.110932	7.831886	3.389874
38	3.334004	7.9971	3.180052
39	3.214269	8.075662	3.066079
40	3.302574	8.237407	3.246733
41	3.220331	8.131935	3.362373
42	3.118364	8.215065	3.243412
43	6.15598	7.820599	3.27427
44	6.023829	7.794844	3.202812
45	6.209287	7.962016	3.250269
46	6.355447	7.971914	3.306965
47	6.152879	7.783634	3.378603
48	6.219841	7.754392	3.234274
49	5.95003	7.860982	3.251866
50	6.027503	7.822428	3.097499
51	5.994772	7.69291	3.208148
52	6.145823	8.044539	3.288146
53	6.202094	7.977827	3.142856
54	6.356119	7.964026	3.419463
55	6.420805	7.90028	3.252592
56	6.396704	8.06868	3.273028
57	2.723433	5.893941	1.610506
58	2.793639	5.76427	1.611925
59	2.807533	6.000071	1.531406
60	2.736889	6.140659	1.521204
61	2.632517	5.887237	1.547864
62	2.69522	5.915707	1.713517
63	2.899197	5.774572	1.586337
64	2.781238	5.738415	1.720162
65	2.764676	5.6774	1.546963
66	2.853954	5.95341	1.4428
67	2.88884	6.029284	1.58923
68	2.718409	6.178511	1.620228
69	2.78655	6.21085	1.460298
70	2.637809	6.124777	1.472545
71	2.246948	7.137049	5.864573
72	2.13894	7.237581	5.846734
73	2.179746	7.023484	5.946084
74	2.277186	6.902027	5.95221
75	2.287718	7.105844	5.770815
76	2.325943	7.172856	5.92695
77	2.049451	7.198061	5.798255
78	2.120227	7.291323	5.944051
79	2.174314	7.318345	5.786009
80	2.090182	6.99431	5.889059
81	2.157693	7.059729	6.046865
82	2.374267	6.927031	6.002554
83	2.23421	6.810157	6.002042
84	2.311959	6.882325	5.853179
85	1.544735	6.504146	6.842345
86	1.456745	6.619289	6.792834
87	1.648158	6.468528	6.735343
88	1.768005	6.41349	6.811623
89	1.485414	6.415095	6.850161
90	1.591531	6.531631	6.933293
91	1.443048	6.628902	6.685189
92	1.521641	6.700991	6.797734
93	1.3611	6.644059	6.841373
94	1.601717	6.402961	6.660343
95	1.682081	6.561563	6.695213
96	1.810069	6.502838	6.864614
97	1.842568	6.370689	6.74463
98	1.736969	6.338347	6.889093
99	5.590777	1.203404	5.979197
100	5.447743	1.175742	6.011281
101	5.62354	1.352283	5.999428
102	5.554103	1.415885	5.880153
103	5.666149	1.145127	6.045864
104	5.603928	1.176874	5.876761
105	5.443232	1.063168	6.023191
106	5.425699	1.225233	6.107046
107	5.383537	1.214753	5.937343
108	5.727189	1.382249	5.979178
109	5.590723	1.381392	6.09928
110	5.626184	1.411015	5.795694
111	5.459992	1.375101	5.859125
112	5.537446	1.522243	5.893737
113	7.271098	4.448973	1.533681
114	7.338897	4.494401	1.40607
115	7.359114	4.3525	1.620151
116	7.430986	4.254719	1.520655
117	7.183197	4.397779	1.501793
118	7.253733	4.544519	1.582858
119	7.291962	4.586977	1.383802
120	7.313273	4.427425	1.317672
121	7.447577	4.507419	1.405254
122	7.425393	4.415194	1.67678
123	7.290857	4.297444	1.691424
124	7.471732	4.300494	1.433053
125	7.360603	4.179994	1.501772
126	7.511389	4.199464	1.562465
127	3.163449	1.569497	7.53189
128	3.050637	1.505727	7.451674
129	3.236602	1.664337	7.435027
130	3.365236	1.72673	7.497424
131	3.236328	1.488828	7.562199
132	3.125264	1.624424	7.615222
133	2.982626	1.575522	7.396333
134	2.991935	1.439412	7.51697
135	3.09192	1.439097	7.373737
136	3.265579	1.60615	7.347906
137	3.170984	1.747176	7.404354
138	3.339459	1.783576	7.590467
139	3.416695	1.793765	7.430234
140	3.438647	1.646991	7.52451
141	0.006144	6.196894	5.41048
142	0.146336	6.250443	5.428412
143	-0.053735	6.257795	5.345755
144	0.012234	6.09725	5.364243
145	-0.048278	6.203806	5.497433
146	0.193382	6.239776	5.331811
147	0.14144	6.355503	5.457788
148	0.195096	6.193473	5.507068
149	3.011786	5.023694	5.002366
150	2.888058	5.11556	4.970744
151	2.959198	4.927316	5.023289
152	3.048187	5.067908	5.095471
153	3.090185	5.014572	4.924799
154	2.826808	5.134958	5.061902
155	2.838543	5.065094	4.885967
156	2.925772	5.213268	4.930006
157	1.378721	7.175641	6.778141
158	1.468109	7.146594	6.898294
159	1.372816	7.084805	6.719057
160	1.393781	7.265358	6.714394
161	1.280529	7.17797	6.829032
162	1.5655	7.116303	6.845915
163	1.417208	7.067486	6.957129
164	1.485876	7.237631	6.964534
